kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
飼います,かいます,kaimasu,keep a pet,"[""keep a pet"",""raise an animal""]","[""育てる""]",verb_group_1,2,"[""animals"",""daily_life""]"
建てます,たてます,tatemasu,build,"[""build"",""construct""]","[""建設する""]",verb_group_2,2,"[""construction""]"
走ります,はしります,hashirimasu,run,"[""run"",""drive""]","[""駆ける""]",verb_group_1,2,"[""movement"",""transport""]"
取ります,とります,torimasu,take,"[""take"",""get"",""take a holiday""]","[""得る""]",verb_group_1,2,"[""daily_life"",""action""]"
見えます,みえます,miemasu,can be seen,"[""can be seen"",""be visible""]","[""見える""]",verb_group_2,3,"[""vision"",""nature""]"
聞こえます,きこえます,kikoemasu,can be heard,"[""can be heard"",""be audible""]","[""聞こえる""]",verb_group_2,3,"[""hearing"",""sound""]"
できます,できます,dekimasu,be completed,"[""be made"",""be completed"",""come into existence"",""can do""]","[""完成する""]",verb_group_2,2,"[""creation"",""ability""]"
開きます,ひらきます,hirakimasu,open,"[""open"",""hold"",""set up""]","[""始める""]",verb_group_1,3,"[""event"",""school""]"
ペット,ペット,petto,pet,"[""pet""]","[""愛玩動物""]",noun,1,"[""animals""]"
鳥,とり,tori,bird,"[""bird""]","[""小鳥""]",noun,1,"[""animals""]"
声,こえ,koe,voice,"[""voice""]","[""音声""]",noun,1,"[""sound"",""communication""]"
波,なみ,nami,wave,"[""wave""]","[""波浪""]",noun,2,"[""nature""]"
花火,はなび,hanabi,fireworks,"[""fireworks""]","[""打ち上げ花火""]",noun,2,"[""festival"",""summer""]"
景色,けしき,keshiki,scenery,"[""scenery"",""view"",""landscape""]","[""風景""]",noun,2,"[""nature"",""travel""]"
昼間,ひるま,hiruma,daytime,"[""daytime"",""during the day""]","[""昼""]",noun,2,"[""time""]"
昔,むかし,mukashi,old days,"[""old days"",""ancient times"",""long ago""]","[""以前""]",noun,2,"[""time"",""history""]"
道具,どうぐ,dougu,tool,"[""tool"",""instrument"",""equipment""]","[""器具""]",noun,2,"[""objects"",""work""]"
自動販売機,じどうはんばいき,jidouhanbaiki,vending machine,"[""vending machine""]","[""販売機""]",noun,3,"[""shopping"",""machine""]"
通信販売,つうしんはんばい,tsuushinhanbai,mail-order sales,"[""mail-order sales"",""online shopping""]","[""通販""]",noun,3,"[""shopping"",""business""]"
クリーニング,クリーニング,kuriiningu,dry cleaning,"[""dry cleaning"",""laundry""]","[""洗濯""]",noun,2,"[""daily_life"",""service""]"
マンション,マンション,manshon,apartment,"[""apartment"",""condominium""]","[""アパート""]",noun,2,"[""housing""]"
台所,だいどころ,daidokoro,kitchen,"[""kitchen""]","[""キッチン""]",noun,1,"[""house""]"
～教室,～きょうしつ,~kyoushitsu,class,"[""class"",""classroom""]","[""授業""]",suffix,2,"[""education""]"
パーティールーム,パーティールーム,paatii_ruumu,party room,"[""party room""]","[""集会室""]",noun,2,"[""event"",""room""]"
～後,～ご,~go,after,"[""after"",""later""]","[""あとで""]",suffix,2,"[""time""]"
～しか,～しか,~shika,only,"[""only"",""nothing but""]","[""だけ""]",particle,3,"[""grammar"",""negative""]"
ほかの,ほかの,hoka_no,other,"[""other"",""another""]","[""別の""]",prenoun_adjective,1,"[""description""]"
ガラス,がらす,garasu,glass,"[""glass"",""material""]","[""硝子""]",noun,1,"[""objects""]"
袋,ふくろ,fukuro,bag,"[""bag""]","[""かばん""]",noun,1,"[""objects""]"
財布,さいふ,saifu,wallet,"[""wallet"",""purse""]","[""札入れ""]",noun,1,"[""objects"",""daily_life""]"
枝,えだ,eda,branch,"[""branch"",""twig""]","[""小枝""]",noun,2,"[""nature""]"
駅員,えきいん,ekiin,station employee,"[""station employee"",""station staff""]","[""係員""]",noun,2,"[""profession"",""transport""]"
この辺,このへん,kono hen,around here,"[""this neighborhood"",""around here""]","[""ここ近辺""]",noun,2,"[""location""]"
～辺,～へん,~hen,the place around,"[""the place around"",""vicinity""]","[""～あたり""]",suffix,2,"[""location""]"
このくらい,このくらい,kono kurai,about this size,"[""about this size"",""about this much""]","[""これほど""]",adverb,2,"[""description""]"
お先にどうぞ,おさきにどうぞ,osaki ni douzo,After you.,"[""After you."",""Go ahead, please.""]","[""どうぞお先に""]",phrase,1,"[""expression"",""polite""]"
［ああ、］よかった,ああ、よかった,"aa, yokatta",Thank goodness!,"[""Thank goodness!"",""I'm glad""]","[""安心した""]",phrase,1,"[""expression""]"
今の電車,いまのでんしゃ,ima no densha,the train which has just left,"[""the train which has just left""]","[""直前の電車""]",noun,2,"[""transport"",""time""]"
忘れ物,わすれもの,wasuremono,things left behind,"[""things left behind"",""lost property""]","[""遺失物""]",noun,2,"[""objects"",""daily_life""]"
～側,～がわ,~gawa,~ side,"[""~ side""]","[""～面""]",suffix,2,"[""location""]"
ポケット,ぽけっと,poketto,pocket,"[""pocket""]","[""物入れ""]",noun,1,"[""objects"",""clothing""]"
覚えていません,おぼえていません,oboete imasen,I don't remember.,"[""I don't remember.""]","[""記憶にない""]",phrase,2,"[""expression""]"
網棚,あみだな,amidana,luggage rack,"[""rack"",""baggage rack""]","[""荷物棚""]",noun,2,"[""objects"",""transport""]"
確か,たしか,tashika,"I suppose, if I am correct","[""I suppose, if I am correct"",""probably""]","[""おそらく""]",adverb,2,"[""description""]"
地震,じしん,jishin,earthquake,"[""earthquake""]","[""震災""]",noun,2,"[""nature"",""disaster""]"
壁,かべ,kabe,wall,"[""wall""]","[""隔壁""]",noun,1,"[""housing""]"
針,はり,hari,hands,"[""hands \(of a clock\)"",""needle""]","[""時計の針""]",noun,2,"[""objects"",""time""]"
指します,さします,sashimasu,point,"[""point"",""point to""]","[""示す""]",verb_group_1,2,"[""action""]"
駅前,えきまえ,ekimae,area in front of station,"[""the area in front of a station""]","[""駅の周辺""]",noun,2,"[""location"",""transport""]"
倒れます,たおれます,taoremasu,fall down,"[""fall down""]","[""転倒する""]",verb_group_2,2,"[""action"",""intransitive""]"
西,にし,nishi,west,"[""west""]","[""西方""]",noun,1,"[""location""]"
方,ほう,hou,direction,"[""direction"",""side""]","[""方向""]",noun,2,"[""location""]"
