kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags,
開きます,あきます,akimasu,open,"[""open"",""a door opens""]","[""開く""]",verb_group_1,2,"[""action"",""intransitive""]",
閉まります,しまります,shimarimasu,close,"[""close"",""shut"",""a door closes""]","[""閉じる""]",verb_group_1,2,"[""action"",""intransitive""]",
つきます,つきます,tsukimasu,come on,"[""come on"",""a light comes on""]","[""点灯する""]",verb_group_1,2,"[""action"",""intransitive""]",
消えます,きえます,kiemasu,go off,"[""go off"",""disappear"",""a light goes off""]","[""消灯する""]",verb_group_2,2,"[""action"",""intransitive""]",
込みます,こみます,komimasu,get crowded,"[""get crowded"",""a road gets crowded""]","[""混雑する""]",verb_group_1,2,"[""description""]",
すきます,すきます,sukimasu,get empty,"[""get empty"",""a road gets empty""]","[""空く""]",verb_group_1,2,"[""description""]",
壊れます,こわれます,kowaremasu,break,"[""break"",""a chair breaks""]","[""破損する""]",verb_group_2,2,"[""action"",""intransitive""]",
割れます,われます,waremasu,break,"[""break"",""smash"",""a glass breaks""]","[""砕ける""]",verb_group_2,2,"[""action"",""intransitive""]",
折れます,おれます,oremasu,break,"[""break"",""snap"",""a tree breaks""]","[""折損する""]",verb_group_2,2,"[""action"",""intransitive""]",
破れます,やぶれます,yaburemasu,tear,"[""tear"",""the paper tears""]","[""裂ける""]",verb_group_2,2,"[""action"",""intransitive""]",
汚れます,よごれます,yogoremasu,get dirty,"[""get dirty"",""the clothes get dirty""]","[""汚損する""]",verb_group_2,2,"[""daily_life"",""intransitive""]",
付きます,つきます,tsukimasu,be attached,"[""be attached"",""a pocket is attached""]","[""付着する""]",verb_group_1,2,"[""description"",""intransitive""]",
外れます,はずれます,hazuremasu,be undone,"[""be undone"",""a button is undone""]","[""外れる""]",verb_group_2,2,"[""description"",""intransitive""]",
止まります,とまります,tomarimasu,stop,"[""stop"",""an elevator stops""]","[""停止する""]",verb_group_1,1,"[""movement"",""intransitive""]",
間違えます,まちがえます,machigaemasu,make a mistake,"[""make a mistake""]","[""誤る""]",verb_group_2,2,"[""action"",""transitive""]",
落とします,おとします,otoshimasu,drop,"[""drop"",""lose""]","[""紛失する""]",verb_group_1,2,"[""action"",""transitive""]",
掛かります,かかります,kakarimasu,be locked,"[""be locked"",""a key is locked""]","[""施錠する""]",verb_group_1,2,"[""description"",""intransitive""]",
［お］皿,おさら,osara,plate,"[""plate"",""dish""]","[""皿""]",noun,1,"[""objects"",""food""]",
［お］茶碗,おちゃわん,ochawan,rice bowl,"[""rice bowl""]","[""茶碗""]",noun,1,"[""objects"",""food""]",
コップ,こっぷ,koppu,glass,"[""glass"",""vessel""]","[""グラス""]",noun,1,"[""objects"",""food""]",
開きます,あきます,akimasu,open,"[""open"",""a door opens""]","[""開く""]",verb_group_1,2,"[""action"",""intransitive""]",
閉まります,しまります,shimarimasu,close,"[""close"",""shut"",""a door closes""]","[""閉じる""]",verb_group_1,2,"[""action"",""intransitive""]",
つきます,つきます,tsukimasu,come on,"[""come on"",""a light comes on""]","[""点灯する""]",verb_group_1,2,"[""action"",""intransitive""]",
消えます,きえます,kiemasu,go off,"[""go off"",""disappear"",""a light goes off""]","[""消灯する""]",verb_group_2,2,"[""action"",""intransitive""]",
込みます,こみます,komimasu,get crowded,"[""get crowded"",""a road gets crowded""]","[""混雑する""]",verb_group_1,2,"[""description""]",
すきます,すきます,sukimasu,get empty,"[""get empty"",""a road gets empty""]","[""空く""]",verb_group_1,2,"[""description""]",
壊れます,こわれます,kowaremasu,break,"[""break"",""a chair breaks""]","[""破損する""]",verb_group_2,2,"[""action"",""intransitive""]",
割れます,われます,waremasu,break,"[""break"",""smash"",""a glass breaks""]","[""砕ける""]",verb_group_2,2,"[""action"",""intransitive""]",
折れます,おれます,oremasu,break,"[""break"",""snap"",""a tree breaks""]","[""折損する""]",verb_group_2,2,"[""action"",""intransitive""]",
破れます,やぶれます,yaburemasu,tear,"[""tear"",""the paper tears""]","[""裂ける""]",verb_group_2,2,"[""action"",""intransitive""]",
汚れます,よごれます,yogoremasu,get dirty,"[""get dirty"",""the clothes get dirty""]","[""汚損する""]",verb_group_2,2,"[""daily_life"",""intransitive""]",
付きます,つきます,tsukimasu,be attached,"[""be attached"",""a pocket is attached""]","[""付着する""]",verb_group_1,2,"[""description"",""intransitive""]",
外れます,はずれます,hazuremasu,be undone,"[""be undone"",""a button is undone""]","[""外れる""]",verb_group_2,2,"[""description"",""intransitive""]",
止まります,とまります,tomarimasu,stop,"[""stop"",""an elevator stops""]","[""停止する""]",verb_group_1,1,"[""movement"",""intransitive""]",
間違えます,まちがえます,machigaemasu,make a mistake,"[""make a mistake""]","[""誤る""]",verb_group_2,2,"[""action"",""transitive""]",
落とします,おとします,otoshimasu,drop,"[""drop"",""lose""]","[""紛失する""]",verb_group_1,2,"[""action"",""transitive""]",
掛かります,かかります,kakarimasu,be locked,"[""be locked"",""a key is locked""]","[""施錠する""]",verb_group_1,2,"[""description"",""intransitive""]",
［お］,おさら,osara,plate,"[""plate"",""dish""]","[""皿""]",noun,1,"[""objects"",""food""]",
［お］茶碗,おちゃわん,ochawan,rice bowl,"[""rice bowl""]","[""茶碗""]",noun,1,"[""objects"",""food""]",
コップ,こっぷ,koppu,glass,"[""glass"",""vessel""]","[""グラス""]",noun,1,"[""objects"",""food""]",
ガラス,がらす,garasu,glass,"[""glass"",""material""]","[""硝子""]",noun,1,"[""objects""]",
袋,ふくろ,fukuro,bag,"[""bag""]","[""かばん""]",noun,1,"[""objects""]",
財布,さいふ,saifu,wallet,"[""wallet"",""purse""]","[""札入れ""]",noun,1,"[""objects"",""daily_life""]",
枝,えだ,eda,branch,"[""branch"",""twig""]","[""小枝""]",noun,2,"[""nature""]",
駅員,えきいん,ekiin,station employee,"[""station employee"",""station staff""]","[""係員""]",noun,2,"[""profession"",""transport""]",
この辺,このへん,kono hen,around here,"[""this neighborhood"",""around here""]","[""ここ近辺""]",noun,2,"[""location""]",
～辺,～へん,~hen,the place around,"[""the place around"",""vicinity""]","[""～あたり""]",suffix,2,"[""location""]",
このくらい,このくらい,kono kurai,about this size,"[""about this size"",""about this much""]","[""これほど""]",adverb,2,"[""description""]",
お先にどうぞ,おさきにどうぞ,osaki ni douzo,After you.,"[""After you."",""Go ahead, please.""]","[""どうぞお先に""]",phrase,1,"[""expression"",""polite""]",
［ああ、］よかった,ああ、よかった,"aa, yokatta",Thank goodness!,"[""Thank goodness!"",""I'm glad""]","[""安心した""]",phrase,1,"[""expression""]",
今の電車,いまのでんしゃ,ima no densha,the train which has just left,"[""the train which has just left""]","[""直前の電車""]",noun,2,"[""transport"",""time""]",
忘れ物,わすれもの,wasuremono,things left behind,"[""things left behind"",""lost property""]","[""遺失物""]",noun,2,"[""objects"",""daily_life""]",
～側,～がわ,~gawa,~ side,"[""~ side""]","[""～面""]",suffix,2,"[""location""]",
ポケット,ぽけっと,poketto,pocket,"[""pocket""]","[""物入れ""]",noun,1,"[""objects"",""clothing""]",
覚えていません,おぼえていません,oboete imasen,I don't remember.,"[""I don't remember.""]","[""記憶にない""]",phrase,2,"[""expression""]",
網棚,あみだな,amidana,luggage rack,"[""rack"",""baggage rack""]","[""荷物棚""]",noun,2,"[""objects"",""transport""]",
確か,たしか,tashika,"I suppose, if I am correct","[""I suppose, if I am correct"",""probably""]","[""おそらく""]",adverb,2,"[""description""]",
地震,じしん,jishin,earthquake,"[""earthquake""]","[""震災""]",noun,2,"[""nature"",""disaster""]",
壁,かべ,kabe,wall,"[""wall""]","[""隔壁""]",noun,1,"[""housing""]",
針,はり,hari,hands,"[""hands \(of a clock\)"",""needle""]","[""時計の針""]",noun,2,"[""objects"",""time""]",
指します,さします,sashimasu,point,"[""point"",""point to""]","[""示す""]",verb_group_1,2,"[""action""]",
駅前,えきまえ,ekimae,area in front of station,"[""the area in front of a station""]","[""駅の周辺""]",noun,2,"[""location"",""transport""]",
倒れます,たおれます,taoremasu,fall down,"[""fall down""]","[""転倒する""]",verb_group_2,2,"[""action"",""intransitive""]",
西,にし,nishi,west,"[""west""]","[""西方""]",noun,1,"[""location""]",
方,ほう,hou,direction,"[""direction"",""side""]","[""方向""]",noun,2,"[""location""]",
ガラス,がらす,garasu,glass,"[""glass"",""material""]","[""硝子""]",noun,1,"[""objects""]",
袋,ふくろ,fukuro,bag,"[""bag""]","[""かばん""]",noun,1,"[""objects""]",
財布,さいふ,saifu,wallet,"[""wallet"",""purse""]","[""札入れ""]",noun,1,"[""objects"",""daily_life""]",
枝,えだ,eda,branch,"[""branch"",""twig""]","[""小枝""]",noun,2,"[""nature""]",
駅員,えきいん,ekiin,station employee,"[""station employee"",""station staff""]","[""係員""]",noun,2,"[""profession"",""transport""]",
この辺,このへん,kono hen,around here,"[""this neighborhood"",""around here""]","[""ここ近辺""]",noun,2,"[""location""]",
～辺,～へん,~hen,the place around,"[""the place around"",""vicinity""]","[""～あたり""]",suffix,2,"[""location""]",
このくらい,このくらい,kono kurai,about this size,"[""about this size"",""about this much""]","[""これほど""]",adverb,2,"[""description""]",
お先にどうぞ,おさきにどうぞ,osaki ni douzo,After you.,"[""After you."",""Go ahead, please.""]","[""どうぞお先に""]",phrase,1,"[""expression"",""polite""]",
［ああ、］よかった,ああ、よかった,"aa, yokatta",Thank goodness!,"[""Thank goodness!"",""I'm glad""]","[""安心した""]",phrase,1,"[""expression""]",
今の電車,いまのでんしゃ,ima no densha,the train which has just left,"[""the train which has just left""]","[""直前の電車""]",noun,2,"[""transport"",""time""]",
忘れ物,わすれもの,wasuremono,things left behind,"[""things left behind"",""lost property""]","[""遺失物""]",noun,2,"[""objects"",""daily_life""]",
～側,～がわ,~gawa,~ side,"[""~ side""]","[""～面""]",suffix,2,"[""location""]",
ポケット,ぽけっと,poketto,pocket,"[""pocket""]","[""物入れ""]",noun,1,"[""objects"",""clothing""]",
覚えていません,おぼえていません,oboete imasen,I don't remember.,"[""I don't remember.""]","[""記憶にない""]",phrase,2,"[""expression""]",
網棚,あみだな,amidana,luggage rack,"[""rack"",""baggage rack""]","[""荷物棚""]",noun,2,"[""objects"",""transport""]",
確か,たしか,tashika,"I suppose, if I am correct","[""I suppose, if I am correct"",""probably""]","[""おそらく""]",adverb,2,"[""description""]",
地震,じしん,jishin,earthquake,"[""earthquake""]","[""震災""]",noun,2,"[""nature"",""disaster""]",
壁,かべ,kabe,wall,"[""wall""]","[""隔壁""]",noun,1,"[""housing""]",
針,はり,hari,hands,"[""hands \(of a clock\)"",""needle""]","[""時計の針""]",noun,2,"[""objects"",""time""]",
指します,さします,sashimasu,point,"[""point"",""point to""]","[""示す""]",verb_group_1,2,"[""action""]",
駅前,えきまえ,ekimae,area in front of station,"[""the area in front of a station""]","[""駅の周辺""]",noun,2,"[""location"",""transport""]",
倒れます,たおれます,taoremasu,fall down,"[""fall down""]","[""転倒する""]",verb_group_2,2,"[""action"",""intransitive""]",
西,にし,nishi,west,"[""west""]","[""西方""]",noun,1,"[""location""]",
方,ほう,hou,direction,"[""direction"",""side""]","[""方向""]",noun,2,"[""location""]",
