kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
運動します,うんどうします,undoushimasu,take exercise,"[""work out""]","[""exercise""]",suru verb,2,
成功します,せいこうします,seikoushimasu,succeed,"[""achieve success""]","[""accomplish""]",suru verb,3,
失敗します,しっぱいします,shippaishimasu,fail [an examination],"[""make a mistake""]","[""fail""]",suru verb,3,
合格します,ごうかくします,goukakushimasu,pass[an examination],"[""succeed in exam""]","[""pass""]",suru verb,3,
戻ります,もどります,modorimasu,retum,"[""come back""]","[""go back""]",verb (Group 1),2,
やみます,やみます,yamimasu,[rain] stop,"[""cease""]","[""end""]",verb (Group 1),2,
晴れます,はれます,haremasu,clear up,"[""become sunny""]","[""brighten""]",verb (Group 2),2,
曇ります,くもります,kumorimasu,get cloudy,"[""cloud over""]","[""become overcast""]",verb (Group 1),2,
吹きます,ふきます,fukimasu,[wind] blow,"[""gust""]","[""breeze""]",verb (Group 1),2,
治ります,なおります,naorimasu,"recover from [sickness], get well","[""get well""]","[""heal""]",verb (Group 1),3,
直ります,なおります,naorimasu,"be fixed, be repaired","[""be corrected""]","[""repair itself""]",verb (Group 1),3,
続きます,つづきます,tsudzukimasu,[high temperature] continue,"[""go on""]","[""persist""]",verb (Group 1),2,
ひきます,ひきます,hikimasu,catch [a cold],"[""get sick""]","['catch cold""]",verb (Group 1),3,
冷やします,ひやします,hiyashimasu,cool,"[""chill""]","[""lower temperature""]",verb (Group 1),2,
心配[な],しんぱい[な],shinpai [na],"worried, anxious",concerned,"[""uneasy""]",na-adjective,2,
十分[な],じゅうぶん[な],juubun [na],"enough, sufficient","[""adequate""]","[""plenty""]",na-adjective,2,
おかしい,おかしい,okashii,"strange, funny","[""odd""]","[""weird""]",i-adjective,2,
うるさい,うるさい,urusai,noisy,loud,"[""annoying""]",i-adjective,2,
やけど,やけど,yakedo,burning (~ します: get burned),"[""burn""]","[""scald""]",noun,2,
けが,けが,kega,injury (〜を します: get injured),"[""wound""]",hurt,noun,2,
せき,せき,seki,cough (〜が でます: have a cough),"[""coughing""]","[""hack""]",noun,1,
インフルエンザ,いんふるえんざ,infuruenza,influenza,"[""flu""]","[""influenza virus""]",noun,2,
空,そら,sora,sky,"[""heavens""]","[""atmosphere""]",noun,1,
太陽,たいよう,taiyou,sun,"[""sunlight""]","[""solar body""]",noun,1,
星,ほし,hoshi,star,"[""celestial body""]","[""star""]",noun,1,
月,つき,tsuki,moon,"[""lunar body""]","[""satellite""]",noun,1,
風,かぜ,kaze,wind,"[""breeze""]","[""air current""]",noun,1,
北,きた,kita,north,"[""northern direction""]","[""north side""]",noun,1,
南,みなみ,minami,south,"[""southern direction""]","[""south side""]",noun,1,
西,にし,nishi,west,"[""western direction""]","[""west side""]",noun,1,
東,ひがし,higashi,east,"[""eastern direction""]","[""east side""]",noun,1,
水道,すいどう,suidou,"faucet, tap, water supply","[""plumbing""]","[""waterworks""]",noun,3,
エンジン,えんじん,enjin,engine,"[""motor""]","[""machine engine""]",noun,2,
チーム,ちーむ,chiimu,team,"[""group""]","[""squad""]",noun,1,
今夜,こんや,konya,this evening,"[""tonight""]","[""tonight""]",noun,1,
夕方,ゆうがた,yuugata,late afternoon,"[""evening""]","[""dusk""]",noun,2,
前,まえ,mae,"a time in the past, before","[""earlier""]","[""prior""]",noun,1,
遅く,おそく,osoku,late (time),"[""slowly""]","[""delayed""]",adverb,2,
こんなに,こんなに,konnani,like this,"[""this much""]","[""to this extent""]",adverb,2,
そんなに,そんなに,sonnani,"like that (concerning a matter related to the
listener)","[""that much""]","[""to that extent""]",adverb,2,
あんなに,あんなに,annani,"like that (concerning a matter not related to the
speaker or the listener), that much","[""that greatly""]","[""to that extent""]",adverb,2,
もしかしたら,もしかしたら,moshikashitara,"possibly, perhaps","[""maybe""]","[""possibly""]",adverb,2,
それはいけませんね,それはいけませんね,sore wa ikemasen ne,That's too bad,"[""that's not good""]","[""unfortunate""]",expression,2,
オリンピック,おりんぴっく,orinpikku,Olympic Games,"[""Olympics""]","[""international sports event""]",noun,2,
元気,げんき,genki,vigor,"[""energetic""]","[""lively""]",noun,1,
胃,い,i,stomach,"[""belly""]","[""gastric organ""]",noun,2,
働きすぎ,はたらきすぎ,hatarakisugi,working too much,"[""overworking""]","[""workaholism""]",noun,3,
ストレス,すとれす,sutoresu,stress,"[""pressure""]","[""tension""]",noun,1,
無理をします,むりをします,muri o shimasu,work more than one's capacity,"[""overdo""]","[""strain oneself""]",expression,3,
ゆっくりします,ゆっくりします,yukkuri shimasu,take one's time,"[""relax""]","[""rest slowly""]",suru verb,2,
星占い,ほしうらない,hoshiuranai,horoscope,"[""astrology""]","[""zodiac reading""]",noun,3,
牡牛座,おうしざ,oushiza,Taurus,"[""Taurus zodiac sign""]","[""bull sign""]",noun,3,
困ります,こまります,komarimasu,"be in trouble, have a problem","[""have difficulty""]","[""be bothered""]",verb (Group 1),2,
宝くじ,たからくじ,takarakuji,lottery,"[""raffle""]","[""lottery ticket""]",noun,2,
当たります,あたります,atarimasu,win [a lottery],"[""hit jackpot""]","[""win""]",verb (Group 1),3,
健康,けんこう,kenkou,health,"[""wellness""]","[""fitness""]",noun,2,
恋愛,れんあい,renai,romantic love,"[""romance""]","[""love affair""]",noun,2,
恋人,こいびと,koibito,"sweetheart, boyfriend, girlfriend","[""lover""]","[""partner""]",noun,2,
お金持ち,おかねもち,okanemochi,rich person,"[""wealthy person""]","[""millionaire""]",noun,2,
