kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
勤めます,つとめます,tsutomemasu,work,"[""work for (a company)""]","[""働く""]",verb_group_2,2,"[""job""]"
休みます,やすみます,yasumimasu,rest,"[""go to bed"",""sleep"",""rest""]","[""寝る""]",verb_group_1,1,"[""daily""]"
掛けます,かけます,kakemasu,sit on,"[""sit on (a chair)""]","[""座る""]",verb_group_2,2,"[""action""]"
過ごします,すごします,sugoshimasu,spend time,"[""spend"",""pass (time)""]","[""過ごす""]",verb_group_1,1,"[""time""]"
寄ります,よります,yorimasu,drop in,"[""drop in"",""stop by""]","[""立ち寄る""]",verb_group_1,2,"[""movement""]"
いらっしゃいます,いらっしゃいます,irasshaimasu,be/go/come,"[""be"",""go"",""come (respectful)""]",[],verb_group_1,3,"[""honorific""]"
召し上がります,めしあがります,meshiagarimasu,eat,"[""eat"",""drink (respectful)""]",[],verb_group_1,3,"[""honorific""]"
おっしゃいます,おっしゃいます,osshaimasu,say,"[""say (respectful)""]",[],verb_group_1,3,"[""honorific""]"
なさいます,なさいます,nasaimasu,do,"[""do (respectful)""]",[],verb_group_1,3,"[""honorific""]"
ご覧になります,ごらんになります,goran ni narimasu,see,"[""see"",""look at (respectful)""]",[],verb_group_1,3,"[""honorific""]"
ご存じです,ごぞんじです,gozonji desu,know,"[""know (respectful)""]",[],expression,3,"[""honorific""]"
挨拶,あいさつ,aisatsu,greeting,"[""greeting"",""address""]","[""挨拶する""]",noun,1,"[""communication""]"
灰皿,はいざら,haizara,ashtray,"[""ashtray""]",[],noun,1,"[""object""]"
旅館,りょかん,ryokan,hotel ,"[""Japanese-style inn""]",[],noun,2,"[""place""]"
会場,かいじょう,kaijou,venue,"[""meeting place"",""hall""]",[],noun,1,"[""place""]"
バス停,バスてい,basu tei,bus stop,"[""bus stop""]",[],noun,1,"[""transport""]"
貿易,ぼうえき,boueki,trade,"[""trade""]",[],noun,2,"[""economy""]"
～様,～さま,~sama,respectful suffix,"[""honorific suffix""]",[],suffix,2,"[""honorific""]"
帰りに,かえりに,kaeri ni,on the way back,"[""on the way back""]",[],expression,1,"[""time""]"
たまに,たまに,tamani,occasionally,"[""once in a while"",""occasionally""]","[""時々""]",adverb,1,"[""frequency""]"
ちっとも,ちっとも,chittomo,not at all,"[""not at all (with negative)""]","[""全然""]",adverb,2,"[""grammar""]"
遠慮なく,えんりょなく,enryo naku,without hesitation,"[""without reserve"",""without hesitation""]","[""気にせず""]",adverb,2,"[""manner""]"
一年一組,いちねんいちくみ,ichinen ichikumi,class,"[""class of first grade""]",[],noun,2,"[""school""]"
では,では,dewa,well then,"[""well then (polite)""]","[""じゃ""]",conjunction,1,"[""grammar""]"
出します,だします,dashimasu,run,"[""run (a fever)""]",[],verb_group_1,2,"[""health""]"
よろしくお伝えください,よろしくおつたえください,yoroshiku otsutae kudasai,give regards,"[""please give my regards""]",[],expression,2,"[""polite""]"
失礼いたします,しつれいいたします,shitsurei itashimasu,goodbye,"[""excuse me"",""goodbye (humble)""]",[],expression,2,"[""polite""]"
ひまわり小学校,ひまわりしょうがっこう,himawari shougakkou,elementary school,"[""fictitious elementary school""]",[],proper_noun,2,"[""place""]"
講師,こうし,koushi,lecturer,"[""lecturer"",""instructor""]",[],noun,2,"[""job""]"
多くの,おおくの,ooku no,many,"[""many"",""much""]",[],expression,1,"[""quantity""]"
作品,さくひん,sakuhin,work,"[""work (art, literature)""]",[],noun,1,"[""art""]"
受賞します,じゅしょうします,jushou shimasu,receive award,"[""be awarded a prize""]",[],suru_verb,2,"[""achievement""]"
世界的に,せかいてきに,sekai teki ni,worldwide,"[""worldwide"",""globally""]",[],adverb,2,"[""scale""]"
作家,さっか,sakka,writer,"[""writer"",""novelist""]",[],noun,1,"[""job""]"
～でいらっしゃいます,～でいらっしゃいます,~de irasshaimasu,be,"[""be (respectful form of です)""]",[],expression,3,"[""honorific""]"
長男,ちょうなん,chounan,eldest son,"[""eldest son""]",[],noun,1,"[""family""]"
障害,しょうがい,shougai,handicap,"[""disability"",""handicap""]",[],noun,2,"[""health""]"
お持ちです,おもちです,omochi desu,have,"[""have (respectful)""]",[],expression,3,"[""honorific""]"
作曲,さっきょく,sakkyoku,composition,"[""composition (music)""]",[],noun,2,"[""music""]"
活動,かつどう,katsudou,activity,"[""activity""]",[],noun,1,"[""general""]"
それでは,それでは,soredewa,well then,"[""well then"",""so""]",[],conjunction,1,"[""grammar""]"
大江健三郎,おおえけんざぶろう,Ooe Kenzaburou,Kenzaburo Oe,"[""Japanese novelist""]",[],proper_noun,4,"[""person""]"
東京大学,とうきょうだいがく,Tokyo Daigaku,University of Tokyo,"[""Tokyo University""]",[],proper_noun,2,"[""place""]"
ノーベル文学賞,ノーベルぶんがくしょう,Nobel Bungaku Shou,Nobel Prize,"[""Nobel Prize for literature""]",[],proper_noun,3,"[""award""]"
