kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
行きます,いきます,ikimasu,go,"[""go"",""leave"",""head to""]","[""向かう""]",verb_group_1,1,"[""movement"",""travel""]"
来ます,きます,kimasu,come,"[""come"",""arrive""]","[""来る""]",irregular_verb,1,"[""movement"",""travel""]"
帰ります,かえります,kaerimasu,go home,"[""go home"",""return"",""come back""]","[""戻る""]",verb_group_1,1,"[""movement"",""daily_life""]"
学校,がっこう,gakkou,school,"[""school""]","[""学院""]",noun,1,"[""school"",""place""]"
スーパー,スーパー,suupaa,supermarket,"[""supermarket"",""grocery store""]",[],noun,1,"[""shopping"",""place""]"
駅,えき,eki,station,"[""station"",""train station""]",[],noun,1,"[""transport"",""place""]"
飛行機,ひこうき,hikouki,airplane,"[""airplane"",""aircraft"",""plane""]","[""航空機""]",noun,2,"[""transport""]"
船,ふね,fune,ship,"[""ship"",""boat""]","[""舟""]",noun,1,"[""transport""]"
電車,でんしゃ,densha,electric train,"[""electric train"",""train""]",[],noun,1,"[""transport""]"
地下鉄,ちかてつ,chikatetsu,subway,"[""subway"",""underground"",""metro""]",[],noun,2,"[""transport""]"
新幹線,しんかんせん,shinkansen,bullet train,"[""bullet train"",""Shinkansen""]","[""高速鉄道""]",noun,2,"[""transport"",""travel""]"
バス,バス,basu,bus,"[""bus""]",[],noun,1,"[""transport""]"
タクシー,タクシー,takushii,taxi,"[""taxi"",""cab""]",[],noun,1,"[""transport""]"
自転車,じてんしゃ,jitensha,bicycle,"[""bicycle"",""bike""]","[""バイク""]",noun,1,"[""transport""]"
歩いて,あるいて,aruite,on foot,"[""on foot"",""walking""]","[""徒歩で""]",adverb,2,"[""movement""]"
人,ひと,hito,person,"[""person"",""people"",""human""]","[""人間""]",noun,1,"[""people""]"
友達,ともだち,tomodachi,friend,"[""friend"",""companion""]","[""仲間""]",noun,1,"[""people"",""relationship""]"
彼,かれ,kare,he,"[""he"",""boyfriend"",""him""]",[],pronoun,2,"[""people"",""relationship""]"
彼女,かのじょ,kanojo,she,"[""she"",""girlfriend"",""her""]",[],pronoun,2,"[""people"",""relationship""]"
家族,かぞく,kazoku,family,"[""family"",""household""]","[""家庭""]",noun,1,"[""family""]"
一人で,ひとりで,hitoride,alone,"[""alone"",""by oneself""]","[""単独で""]",adverb,2,"[""daily_life""]"
先週,せんしゅう,senshuu,last week,"[""last week""]",[],noun,1,"[""time""]"
今週,こんしゅう,konshuu,this week,"[""this week"",""current week""]",[],noun,1,"[""time""]"
来週,らいしゅう,raishuu,next week,"[""next week""]",[],noun,1,"[""time""]"
先月,せんげつ,sengetsu,last month,"[""last month""]",[],noun,1,"[""time""]"
今月,こんげつ,kongetsu,this month,"[""this month"",""current month""]",[],noun,1,"[""time""]"
来月,らいげつ,raigetsu,next month,"[""next month""]",[],noun,1,"[""time""]"
去年,きょねん,kyonen,last year,"[""last year""]",[],noun,1,"[""time""]"
今年,ことし,kotoshi,this year,"[""this year"",""current year""]",[],noun,1,"[""time""]"
来年,らいねん,rainen,next year,"[""next year""]",[],noun,1,"[""time""]"
～月,～がつ,~gatsu,month,"[""month of the year""]",[],suffix_counter,1,"[""time"",""calendar""]"
何月,なんがつ,nangatsu,what month,"[""what month""]",[],interrogative,1,"[""question_words"",""calendar""]"
一日,ついたち,tsuitachi,first day,"[""first day of the month""]",[],noun,2,"[""calendar"",""numbers""]"
二日,ふつか,futsuka,second day,"[""second day"",""two days""]",[],noun,2,"[""calendar"",""numbers""]"
三日,みっか,mikka,third day,"[""third day"",""three days""]",[],noun,2,"[""calendar"",""numbers""]"
四日,よっか,yokka,fourth day,"[""fourth day"",""four days""]",[],noun,2,"[""calendar"",""numbers""]"
五日,いつか,itsuka,fifth day,"[""fifth day"",""five days""]",[],noun,2,"[""calendar"",""numbers""]"
六日,むいか,muika,sixth day,"[""sixth day"",""six days""]",[],noun,2,"[""calendar"",""numbers""]"
七日,なのか,nanoka,seventh day,"[""seventh day"",""seven days""]",[],noun,2,"[""calendar"",""numbers""]"
八日,ようか,youka,eighth day,"[""eighth day"",""eight days""]",[],noun,2,"[""calendar"",""numbers""]"
九日,ここのか,kokonoka,ninth day,"[""ninth day"",""nine days""]",[],noun,2,"[""calendar"",""numbers""]"
十日,とおか,tooka,tenth day,"[""tenth day"",""ten days""]",[],noun,2,"[""calendar"",""numbers""]"
