kanji,hiragana,romaji,primary_meaning,accepted_meanings,synonyms,part_of_speech,difficulty_score,tags
私,わたし,watashi,I,"[""I""]","[""me""]",Pronoun,1,"[""JLPT N5"", ""basic"", ""pronoun""]"
私たち,わたしたち,watashitachi,we,"[""we""]","[""us""]",Pronoun,2,"[""JLPT N5"", ""basic"", ""pronoun""]"
あなた,あなた,anata,you,"[""you""]","[""you (singular)""]",Pronoun,2,"[""JLPT N5"", ""basic"", ""pronoun""]"
あの人,あのひと,ano hito,that person,"[""that person"", ""he"", ""she""]","[""that individual""]",Pronoun,3,"[""JLPT N5"", ""basic""]"
皆さん,みなさん,minasan,everyone,"[""ladies and gentlemen"", ""everyone""]","[""all of you""]",Pronoun,3,"[""JLPT N5"", ""polite""]"
～さん,～さん,~san,Mr./Ms.,"[""Mr."", ""Ms."", ""Mrs.""]","[""honorific title""]",Suffix,1,"[""JLPT N5"", ""title"", ""polite""]"
～ちゃん,～ちゃん,~chan,(cute suffix),"[""~ (for children)""]","[""diminutive suffix""]",Suffix,3,"[""JLPT N5"", ""title"", ""casual""]"
～くん,～くん,~kun,(boy suffix),"[""Mr. (for boys)""]","[""boy honorific""]",Suffix,3,"[""JLPT N5"", ""title"", ""casual""]"
～じん,～じん,~jin,person of ~,"[""national of ~"", ""citizen of ~""]","[""~ person""]",Suffix,4,"[""JLPT N5"", ""nationality""]"
先生,せんせい,sensei,teacher,"[""teacher"", ""instructor""]","[""master""]",Noun,2,"[""JLPT N5"", ""occupation""]"
教師,きょうし,kyōshi,teacher,"[""teacher"", ""instructor""]","[""educator""]",Noun,4,"[""JLPT N5"", ""occupation""]"
学生,がくせい,gakusei,student,"[""student""]","[""pupil""]",Noun,2,"[""JLPT N5"", ""occupation""]"
会社員,かいしゃいん,kaishain,company employee,"[""company employee""]","[""office worker""]",Noun,4,"[""JLPT N5"", ""occupation""]"
社員,しゃいん,shain,employee,"[""employee""]","[""staff member""]",Noun,5,"[""JLPT N5"", ""occupation""]"
銀行員,ぎんこういん,ginkōin,bank employee,"[""bank employee""]","[""banker""]",Noun,5,"[""JLPT N5"", ""occupation""]"
医者,いしゃ,isha,doctor,"[""doctor"", ""physician""]","[""medical doctor""]",Noun,4,"[""JLPT N5"", ""occupation""]"
